measurement_source_value,count
02 ANALYZED,4
02 Tubing Present,40
10%alcohl,9
10% alcohol/ cc/hr,75
10% ALCOHOL CC/HR,98
10% ETOH CC/HR,45
10 min,8243
1-10 ML 20% MUCOMYST,2
1:1 sitter,53
1:1 Sitter,24
1/2strength impact,19
1/2strength respalor,2
14 Gauge Dressing Occlusive,3128
14 Gauge placed in outside facility,3045
14 Gauge placed in the field,1507
14 Gauge Reason Discontinued,158
14 Gauge Site Appear,3096
14 G Infiltration Scale,424
14 G Phlebitis Scale,436
16 Gauge Dressing Occlusive,36653
16 Gauge placed in outside facility,36198
16 Gauge placed in the field,21942
16 Gauge Reason Discontinued,1789
16 Gauge Site Appear,36845
16 G Infiltration Scale,6662
16 G Phlebitis Scale,6835
180 degree rotation,15
180 Degree rotation,1
180 degree turn,25
180 DEGREE TURN,1
18 Gauge Dressing Occlusive,132549
18 Gauge placed in outside facility,131516
18 Gauge placed in the field,78672
18 Gauge Reason Discontinued,4251
18 Gauge Site Appear,133090
18 G Infiltration Scale,21661
18 G Phlebitis Scale,22229
#1 chest tube irrig.,11
1. Nausea and Vomit.,7
1.Nausea &vomitting,19
1o cc ns irrigation,10
20 Gauge Dressing Occlusive,179907
20 Gauge placed in outside facility,178564
20 Gauge placed in the field,106779
20 Gauge Reason Discontinued,6142
20 Gauge Site Appear,180086
20 G Infiltration Scale,29645
20 G Phlebitis Scale,30303
20# to skeletal tx,10
22 Gauge Dressing Occlusive,41112
22 Gauge placed in outside facility,40666
22 Gauge placed in the field,24924
22 Gauge Reason Discontinued,1509
22 Gauge Site Appear,40927
22 G Infiltration Scale,7191
22 G Phlebitis Scale,7345
24 hr Calcium,91
24hr Caregiver,3
24 hr Creatinine,653
24hr Lytes&Bili,1
24 hr Protein,225
24hr Urine cc/kg/hr,2
24hr urine output,2
25-OH Vitamin D,74
2nd O2 Sat,74
2ND PARACENTESIS SIT,5
2ND RA ALINE,45
2.tactile Disturban,19
2.Tremor,7
30mmol NAPHOS,1
"3,4,5 finger doppler",25
35 QVar,3
3% NS,19
3.Paroxysmal Sweats,7
3.Tremor,19
3X ABX ointment,16
3x antibiotic oint,17
40GmCaGluc/1000ccNS,83
.45%ns,5
4. Anxiety,7
4.Auditory disturban,19
50% Dextrose gm,1
5. Auditory Disturb.,7
.5BM/.5Neocate 24 PG,20
.5BM/.5Neocate 24 PO,18
5 min,8243
5.Paroxysmal sweats,19
6. Agitation,7
6.visual Disturbanc,19
7.anxiety,19
7. Tactile Disturb.,7
"8.headach,fullness",19
8. Visual Disturb.,7
9.agitation,19
9. H/A Head fullness,7
AaDO2,1428
AaDO2ApacheIIValue,9
Abcess/ Location,43
abd binder,308
Abd binder,6
Abd.Binder,16
ABD Binder,48
ABD BINDER,95
ABD BINDR/THIGH HI'S,5
abd/bldr press,1
Abd Cmprtmnt Pressur,4
abd. cyst drain,2
abd drain,15
Abd drain output,26
Abd drsg change,3
ABD FISTULA,2
abd girth,2
ABD GIRTH,2
Abd. incision,40
ABD INC LINE,116
abd JP output,2
abd lateral,1
ABDO BINDER,30
abdomenal incision,79
abdomen dsg.,28
Abdominal Appearance,457953
Abdominal Assessment,1210042
abdominal binder,288
Abdominal Binder,95
Abdominal Binder.,11
ABDOMINAL BINDER,88
Abdominal Changes: Observation,709
Abdominal Color,428745
abdominal drain,6
Abdominal drainage,12
ABDOMINAL DRAINAGE,34
Abdominal Exam,451581
abdominal girth,6
Abdominal Girth,186
ABDOMINAL GIRTH,7
Abdominal Girth (cm),214380
Abdominal Hernia,4
Abdominal incision,65
Abdominal Loops,420613
ABDOMINAL PRESSURE,1
Abdominal Tap,4
Abdominal ultrasound,4
Abdominal U/S,6
Abdominal US,10
Abdominal xray,3
Abd output in OR,2
abd pressure,7
abd tap,4
ABD TAP,2
abduction pillow,11
Abduction Wedge,31
abductor pillow,5
Abd US,9
abd wd drainage,8
Abd wound drains,8
ABG,31
ABG CHLOIRDE,62
ABG Chloride,57
abg: glucose,1
ABG Hct,281
"ABG, Io CA",1
ABG Potassium,109
ABG POTASSIUM,114
ABG Sodium,47
ABG SODIUM,52
ABI Ankle BP L,8
ABI Ankle BP [Left],233
ABI Ankle BP L (Impella),22
ABI Ankle BP R,30
ABI Ankle BP [Right],514
ABI Brachial BP L,30
ABI Brachial BP [Left],237
ABI Brachial BP R,7
ABI Brachial BP [Right],516
ABI Brachial BP R (Impella),22
ABI (L),499
ABI (R),516
Abnormalities,392
ABP Alarm [High],976252
ABP Alarm [Low],982518
ABP Alarm Source,83710
ABP [Diastolic],3
ABP [Systolic],33
ABSCESS,1350
Absolute A1c,3791
Absolute CD3 Count,2081
Absolute CD4 Count,2335
Absolute CD8 Count,2061
Absolute Hemoglobin,3791
Absolute Lymphocyte Count,2377
Acanthocytes,2331
Acapella (PEP),4
Access mmHg,56049
Access Pressure,58435
Access Site Observed (Tandem Heart),652
Acetaminophen,9560
acetomenophen,1
Acetominophen,17
Acetone,1409
Acety42gm/1L-mg/kg/h,35
ACETYCYSTEINE,36
Acetylcysreine,65
Acetylcysteine,21
Acetylcysteine mg/hr,92
ACETYLCYSTEINE MG/HR,133
ACE WRAP,16
ACE WRAP B LEGS,28
Ace wrap on left fot,9
ACE WRAP RIGHT LEG,14
Acid Phosphatase,12
"Acid Phosphatase, Non-Prostatic",12
"ACID PHOSPHATASE, PROSTATIC",7
Acities removed,2
aclyclovir,18
act,61
ACT,2269
ACT (102-142),3097
Act CPP,3
actigal,14
Actigal,12
Actigall,89
Actigall (Ursodiol),125
Activated Clotting Time,1432
Active ROM RUE/LUE,1
Activity,2244823
Activity HR - Aerobic Activity Response,116
Activity HR - Aerobic Capacity,289
Activity O2 sat - Aerobic Activity Response,103
Activity O2 Sat - Aerobic Capacity,264
Activity RR - Aerobic Activity Response,102
Activity RR - Aerobic Capacity,244
Activity Tolerance,1620876
Actual PEFR,1
